

,,,,,,,Reports

,,,"Problem",,,"Constructive algorithm",,"Local search",,"GRASP",
,,"Name","|V| or n","|E| or m","Simple Randomized or Randomized-1","Simple Greedy or Greedy-1","Semi-greedy-1","Simple local or local-1",,"GRASP-1",,
,,,,,,,,"No. of iterations","Best value","No. of iterations","Best value",
,,g1,800,19176,11025,11195,11222,698,11442,20,11466,
,,g10,800,19176,1369.85,1605,1544.85,661,1836,20,1838,
,,g11,800,1600,407.7,488,469,192,448,20,498,
,,g12,800,1600,391,474,457.4,207,448,20,490,
,,g13,800,1600,419.7,510,482.6,204,464,20,512,
,,g14,800,4694,2866.75,2947,2942.7,282,2951,20,2991,
,,g15,800,4661,2849.75,2923,2918.6,261,2931,20,2973,
,,g16,800,4672,2856.05,2911,2923.55,275,2929,20,2972,
,,g17,800,4667,2847.45,2935,2925.05,258,2928,20,2971,
,,g18,800,4694,704.75,840,802.35,325,879,20,908,
,,g19,800,4661,611.65,802,708.15,344,793,20,808,
,,g2,800,19176,11003.5,11271,11227.6,608,11410,20,11460,
,,g20,800,4672,645.65,792,758.65,355,838,20,865,
,,g21,800,4667,628.1,776,717.6,355,813,20,845,
,,g22,2000,19990,12355.7,12809,12755.7,1207,12896,20,13011,
,,g23,2000,19990,12341.5,12758,12757.6,1142,12889,20,12986,
,,g24,2000,19990,12354.3,12806,12760.5,1116,12909,20,13002,
,,g25,2000,19990,12346.3,12849,12759.2,1167,12906,20,13005,
,,g26,2000,19990,12343.1,12838,12759,1219,12874,20,12973,
,,g27,2000,19990,2319.55,2725,2661,1220,2905,20,2977,
,,g28,2000,19990,2295.55,2589,2545.05,1171,2836,20,2946,
,,g29,2000,19990,2390.8,2801,2635.1,1170,2962,20,3017,
,,g3,800,19176,11012.2,11234,11223.1,650,11460,20,11500,
,,g30,2000,19990,2381.85,2799,2692.15,1227,2966,20,3009,
,,g31,2000,19990,2284.2,2618,2593,1154,2833,20,2940,
,,g32,2000,4000,1021,1184,1152.7,453,1088,20,1226,
,,g33,2000,4000,979.4,1162,1143.2,500,1084,20,1214,
,,g34,2000,4000,974.7,1168,1133.4,519,1068,20,1220,
,,g35,2000,11778,7177.3,7373,7380.95,697,7365,20,7484,
,,g36,2000,11766,7182.35,7353,7371.8,657,7366,20,7471,
,,g37,2000,11785,7189.2,7380,7372.25,698,7351,20,7476,
,,g38,2000,11779,7182.4,7356,7382.35,681,7359,20,7480,
,,g39,2000,11778,1692.15,2030,1878.55,839,2070,20,2149,
,,g4,800,19176,11009.5,11256,11223.5,586,11495,20,11467,
,,g40,2000,11766,1641.2,1996,1916.55,915,2065,20,2155,
,,g41,2000,11785,1669.25,2023,1908.1,837,2057,20,2162,
,,g42,2000,11779,1723.45,2118,1939.3,809,2145,20,2228,
,,g43,1000,9990,6173.95,6382,6357.2,644,6445,20,6487,
,,g44,1000,9990,6169.4,6411,6357.8,602,6461,20,6498,
,,g45,1000,9990,6167.25,6411,6374.35,587,6450,20,6491,
,,g46,1000,9990,6166.55,6380,6369.7,618,6477,20,6490,
,,g47,1000,9990,6175.7,6414,6372.2,593,6444,20,6523,
,,g48,3000,6000,4903.3,6000,6000,859,5098,20,6000,
,,g49,3000,6000,4902.9,6000,6000,866,5084,20,6000,
,,g5,800,19176,11024.6,11275,11228.9,649,11450,20,11479,
,,g50,3000,6000,4898.2,5880,5880,894,5138,20,5880,
,,g51,1000,5909,3602.55,3678,3694.6,362,3700,20,3752,
,,g52,1000,5916,3603.4,3707,3696.2,328,3705,20,3766,
,,g53,1000,5914,3605.65,3710,3696.7,341,3701,20,3749,
,,g54,1000,5916,3606.25,3703,3696.55,326,3696,20,3755,
,,g6,800,19176,1521.9,1752,1711.6,614,1985,20,1992,
,,g7,800,19176,1387.85,1589,1542.1,617,1813,20,1818,
,,g8,800,19176,1362.7,1586,1568.6,628,1845,20,1850,
,,g9,800,19176,1409.75,1593,1609.6,610,1861,20,1847,
