Total 180 AI vs AI matches played
For each Heuristic, 72 matches played. 36 as player 1 and 36 as player 2.
For each pair of Heuristics, 9+9=18 matches played

H1 wins 32 matches.
H2 wins 39 matches.
H3 wins 37 matches.
H4 wins 35 matches.
H5 wins 36 matches.
1 match draw.

H2>H3>H5>H4>H1

Ratio:
H1:H2 --- 5:4
H1:H3 --- 6:3
H1:H4 --- 6:3
H1:H5 --- 5:3
H2:H1 --- 6:3
H2:H3 --- 6:3
H2:H4 --- 7:2
H2:H5 --- 7:2
H3:H1 --- 7:2
H3:H2 --- 6:3
H3:H4 --- 7:2
H3:H5 --- 5:4
H4:H1 --- 7:2
H4:H2 --- 6:3
H4:H3 --- 6:3
H4:H5 --- 6:3
H5:H1 --- 6:3
H5:H2 --- 6:3
H5:H3 --- 6:3
H5:H4 --- 6:3

Details:
h1 h2 d1 d2 w
1 2 9 9 1
1 2 9 10 2
1 2 9 11 2
1 2 10 9 1
1 2 10 10 2
1 2 10 11 2
1 2 11 9 1
1 2 11 10 1
1 2 11 11 1
H1:H2 --- 5:4
h1 h2 d1 d2 w
1 3 9 9 2
1 3 9 10 1
1 3 9 11 2
1 3 10 9 1
1 3 10 10 2
1 3 10 11 1
1 3 11 9 1
1 3 11 10 1
1 3 11 11 1
H1:H3 --- 6:3
h1 h2 d1 d2 w
1 4 9 9 2
1 4 9 10 1
1 4 9 11 2
1 4 10 9 1
1 4 10 10 2
1 4 10 11 1
1 4 11 9 1
1 4 11 10 1
1 4 11 11 1
H1:H4 --- 6:3
h1 h2 d1 d2 w
1 5 9 9 2
1 5 9 10 2
1 5 9 11 2
1 5 10 9 1
1 5 10 10 1
1 5 10 11 1
1 5 11 9 1
1 5 11 10 3
1 5 11 11 1
H1:H5 --- 5:3
h1 h2 d1 d2 w
2 1 9 9 1
2 1 9 10 1
2 1 9 11 2
2 1 10 9 1
2 1 10 10 1
2 1 10 11 2
2 1 11 9 1
2 1 11 10 1
2 1 11 11 2
H2:H1 --- 6:3
h1 h2 d1 d2 w
2 3 9 9 1
2 3 9 10 1
2 3 9 11 2
2 3 10 9 1
2 3 10 10 1
2 3 10 11 2
2 3 11 9 1
2 3 11 10 1
2 3 11 11 2
H2:H3 --- 6:3
h1 h2 d1 d2 w
2 4 9 9 1
2 4 9 10 1
2 4 9 11 2
2 4 10 9 1
2 4 10 10 1
2 4 10 11 2
2 4 11 9 1
2 4 11 10 1
2 4 11 11 1
H2:H4 --- 7:2
h1 h2 d1 d2 w
2 5 9 9 1
2 5 9 10 1
2 5 9 11 2
2 5 10 9 1
2 5 10 10 1
2 5 10 11 2
2 5 11 9 1
2 5 11 10 1
2 5 11 11 1
H2:H5 --- 7:2
h1 h2 d1 d2 w
3 1 9 9 1
3 1 9 10 1
3 1 9 11 2
3 1 10 9 1
3 1 10 10 1
3 1 10 11 2
3 1 11 9 1
3 1 11 10 1
3 1 11 11 1
H3:H1 --- 7:2
h1 h2 d1 d2 w
3 2 9 9 1
3 2 9 10 1
3 2 9 11 2
3 2 10 9 1
3 2 10 10 1
3 2 10 11 2
3 2 11 9 1
3 2 11 10 1
3 2 11 11 2
H3:H2 --- 6:3
h1 h2 d1 d2 w
3 4 9 9 1
3 4 9 10 1
3 4 9 11 2
3 4 10 9 1
3 4 10 10 1
3 4 10 11 2
3 4 11 9 1
3 4 11 10 1
3 4 11 11 1
H3:H4 --- 7:2
h1 h2 d1 d2 w
3 5 9 9 1
3 5 9 10 1
3 5 9 11 2
3 5 10 9 2
3 5 10 10 1
3 5 10 11 2
3 5 11 9 2
3 5 11 10 1
3 5 11 11 1
H3:H5 --- 5:4
h1 h2 d1 d2 w
4 1 9 9 1
4 1 9 10 1
4 1 9 11 2
4 1 10 9 1
4 1 10 10 1
4 1 10 11 2
4 1 11 9 1
4 1 11 10 1
4 1 11 11 1
H4:H1 --- 7:2
h1 h2 d1 d2 w
4 2 9 9 1
4 2 9 10 1
4 2 9 11 2
4 2 10 9 1
4 2 10 10 1
4 2 10 11 2
4 2 11 9 1
4 2 11 10 1
4 2 11 11 2
H4:H2 --- 6:3
h1 h2 d1 d2 w
4 3 9 9 1
4 3 9 10 1
4 3 9 11 2
4 3 10 9 1
4 3 10 10 1
4 3 10 11 2
4 3 11 9 1
4 3 11 10 1
4 3 11 11 2
H4:H3 --- 6:3
h1 h2 d1 d2 w
4 5 9 9 1
4 5 9 10 1
4 5 9 11 2
4 5 10 9 2
4 5 10 10 1
4 5 10 11 2
4 5 11 9 1
4 5 11 10 1
4 5 11 11 1
H4:H5 --- 6:3
h1 h2 d1 d2 w
5 1 9 9 1
5 1 9 10 1
5 1 9 11 2
5 1 10 9 1
5 1 10 10 1
5 1 10 11 2
5 1 11 9 1
5 1 11 10 1
5 1 11 11 2
H5:H1 --- 6:3
h1 h2 d1 d2 w
5 2 9 9 1
5 2 9 10 1
5 2 9 11 2
5 2 10 9 1
5 2 10 10 1
5 2 10 11 2
5 2 11 9 1
5 2 11 10 1
5 2 11 11 2
H5:H2 --- 6:3
h1 h2 d1 d2 w
5 3 9 9 1
5 3 9 10 1
5 3 9 11 2
5 3 10 9 1
5 3 10 10 1
5 3 10 11 2
5 3 11 9 1
5 3 11 10 1
5 3 11 11 2
H5:H3 --- 6:3
h1 h2 d1 d2 w
5 4 9 9 1
5 4 9 10 1
5 4 9 11 2
5 4 10 9 1
5 4 10 10 1
5 4 10 11 2
5 4 11 9 1
5 4 11 10 1
5 4 11 11 2
H5:H4 --- 6:3
